Mouse Action,Traveled Distance,Elapsed Time,length_of_line,largest_deviation,User
1,85.74720695,0.437,74.67261881,11.9722599,7
3,165.0165141,0.562,162.3730273,4.834546802,7
1,1086.184213,2.2,764.1812612,58.11971878,7
3,216.4671193,0.484,213.0375554,9.200255779,7
1,252.6836135,1.373,18.11077028,17.22731807,7
3,52.38108826,0.327,51.03920062,2.331541218,7
1,621.5568422,1.155,514.9077587,48.38730739,7
2,616.9022774,1.357,358.4215395,192.9208833,7
2,345.174962,1.029,324.0015432,22.5400161,7
2,380.1276193,1.669,358.0125696,13.22299942,7
2,892.427915,4.103,608.3461186,196.5624442,7
2,918.2415199,14.228,238.7383505,193.3748805,7
1,1001.563129,3.4,289.5876379,138.4727618,7
2,120.2027408,1.077,93.30058949,27.50250576,7
2,144.5663238,0.702,121.1981848,26.56805467,7
2,63.46585159,0.952,21.21320344,8.909545443,7
5,267.7929372,2.59,255.5484299,30.82390295,7
2,115.8659286,1.139,18.02775638,19.69185697,7
2,942.8559687,6.178,361.7803201,129.6035118,7
2,142.8022645,0.764,56.43580424,50.23406751,7
2,346.5994333,1.061,209.1602257,68.15827414,7
2,326.927888,7.223,284.0862545,34.0389577,7
2,686.580631,5.709,559.5364153,100.2025936,7
1,66.22515616,0.312,59.61543424,11.55740973,7
3,11.57649122,1.201,3.605551275,0.832050294,7
2,1555.644174,2.09,461.269986,382.0994327,7
4,731.2794429,5.476,3.605551275,288.444102,7
2,1048.932258,7.129,218.8378395,370.2193377,7
2,1280.078039,7.659,262.1030332,215.4191019,7
1,327.8445078,2.965,284.6049894,57.93292673,7
3,453.847013,0.593,447,10,7
1,506.6395631,1.108,446,13,7
3,341.1335915,0.608,328.1234524,5.686883965,7
1,417.963098,0.656,351.511024,36.18094208,7
1,261.0569359,1.935,143.4224529,27.6874361,7
3,454.2038209,0.593,447.0178967,7.706626569,7
1,613.0836407,1.419,509.5193814,64.79439489,7
1,66.76741848,0.39,63.5295207,4.91110269,7
3,132.83735,0.749,130.418557,6.624824106,7
2,248.2797866,1.373,78.18567644,72.60920745,7
2,47.71242444,0.546,45.01110974,3.35472733,7
2,119.036727,1.467,51.4781507,42.32863788,7
2,49.08052295,0.749,45.17742799,5.002498151,7
2,92.77243954,1.95,45.01110974,30.9256983,7
2,50.97383646,0.546,46.01086828,4.890148967,7
2,11,0.358,11,0,7
2,54.67064475,0.484,53.00943312,1.943050396,7
1,324.9873786,2.668,69.35416354,86.36828266,7
2,16.82842712,0.624,15.29705854,0.980580676,7
2,63.89821486,0.593,58.87274412,7.949349177,7
2,21.58038814,0.39,20.24845673,1.086502556,7
1,141.1823707,1.108,101.7889974,22.98873217,7
2,342.7634815,8.518,55.57877293,63.76535165,7
2,51.11969499,1.716,16.2788206,3.931488748,7
2,38.88634952,0.686,13,2,7
1,114.6802823,4.446,28.63564213,9.149436875,7
2,46.95084462,1.029,30.08321791,10.27150755,7
2,65.9155695,1.076,5,15.6,7
1,218.8861878,1.201,32.20248438,61.08224375,7
1,122.0793566,0.702,94.64142856,31.09631844,7
2,189.9919413,4.508,112.1605991,30.72380164,7
1,300.6667571,2.309,95.70788891,28.87954203,7
1,285.7067404,2.73,48.84669897,87.76437488,7
1,64.88580812,0.39,63.03173804,5.521028149,7
1,54.20563514,0.593,26.92582404,2.414039396,7
2,75.68828785,1.497,60.08327554,5.059644256,7
1,107.8130239,0.64,105.1189802,6.107365185,7
2,365.8946943,3.401,66.40783086,73.99729725,7
2,643.6018226,3.011,63.00793601,232.4469095,7
2,147.5835844,1.95,12.64911064,52.81003692,7
2,308.6680351,1.841,43.68065934,18.81839726,7
1,242.5914069,0.873,172.5862103,29.05214727,7
1,15.0644951,0.203,12.52996409,1.117321638,7
2,225.8603634,0.765,189.9315666,42.46792749,7
1,136.2468229,0.499,125.4950198,25.99306335,7
1,43.09901951,0.141,43.01162634,0.674236305,7
2,276.6118868,1.248,223.2129029,18.43979424,7
2,168.0055429,2.418,31.06444913,24.62622133,7
2,126.7971969,1.67,16.03121954,48.53030663,7
1,963.9510985,5.865,148.7178537,75.80797948,7
2,420.2182753,3.245,88.32326987,103.7212505,7
2,48.24211248,0.967,11.70469991,10.50859919,7
1,194.5381858,1.482,131.2402377,31.59092114,7
2,310.1262251,4.477,140.5204611,24.1459498,7
1,342.8799671,2.231,106.8877916,47.1709624,7
4,433.2762449,6.162,118.9831921,57.41147031,7
2,26.30713579,0.39,20,5,7
2,209.3944495,2.512,15.5241747,65.12423493,7
2,354.0221427,2.512,61.00819617,99.62595817,7
2,36.71477664,0.999,13.03840481,5.215361924,7
2,299.3093612,2.247,52.88667129,16.50699465,7
1,139.2923187,0.92,130.1153335,13.00384786,7
1,73.58497553,0.53,34.88552709,27.34658409,7
2,181.4712662,0.78,177.2004515,6.726845164,7
1,145.2500102,1.747,134.3167897,9.916854049,7
2,149.6604291,2.293,90.93404203,6.455228283,7
2,12,0.561,12,0,7
1,142.3845615,3.261,101.2422837,32.29875781,7
2,116.3702695,1.326,96.79876032,24.48378463,7
2,30.36505818,1.42,14.03566885,5.842258099,7
1,101.339505,0.78,90.91754506,11.6919127,7
2,740.6991551,2.277,347.4665452,195.0144581,7
2,105.2885715,2.028,75.27283707,14.64007526,7
2,884.905991,10.312,175.0028571,224.1106268,7
2,864.4058767,4.321,396.9886648,170.6345949,7
1,79.8576345,3.104,77.12976079,2.956057398,7
2,1151.970404,1.482,1014.480162,121.7145535,7
2,9.242640687,0.655,7.810249676,1.024295039,7
1,15.65685425,2.918,5.830951895,4.287464629,7
2,34.31468182,0.733,9.848857802,9.03658087,7
2,1478.814656,2.137,782.2282276,74.22002678,7
1,20.75751924,0.203,20.39607805,0.784464541,7
1,471.5282382,0.983,349.1933562,91.02120484,7
3,23.42955328,0.437,21.63330765,1.941450687,7
2,167.6549626,1.014,162.9294326,8.832044507,7
1,157.490174,1.014,101.8626526,27.99848548,7
1,447.9279659,0.39,435.6902569,40.79274144,7
2,3563.226036,12.636,628.440928,564.2964743,7
2,814.8631974,1.638,603.431852,99.00869469,7
2,3252.095841,3.697,135.0592463,633.2554221,7
2,349.3607597,1.56,6.08276253,45.20972151,7
2,37.34919026,0.53,15,7,7
2,767.2011961,2.496,336,53,7
2,1129.277305,1.482,359,228,7
2,46.75280891,0.499,41.48493703,5.664706683,7
2,457.0231021,1.077,315.1586902,93.89555459,7
2,311.5149827,1.341,11.04536102,118.9639703,7
2,758.673883,1585.953,440.9376373,137.1599856,7
2,33.21752493,1.342,23.34523506,6.03977641,7
2,1594.287163,12.714,281.8971444,126.4823029,7
2,683.6666319,12.137,285.7008925,114.5183682,7
2,184.7794045,0.827,170.4230031,23.42406792,7
1,601.6351881,3.51,40.11234224,42.3311107,7
1,100.6014074,0.655,59.66573556,14.24603237,7
1,9.828427125,0.452,5,2,7
2,671.4889055,2.199,639.7265041,18.84086391,7
1,804.7330087,13.011,579.1804555,71.48376574,7
1,15,0.765,3,0,7
2,100.2272363,0.952,90.50966799,11.3137085,7
1,198.2698841,1.404,91.24143795,39.81743473,7
1,196.7405023,1.123,125.876924,20.94903431,7
1,141.0449796,0.188,140.0357097,3.056363272,7
1,17.65028154,0.187,17.11724277,1.635777466,7
1,138.3921751,1.279,91.93475948,32.78411797,7
1,18.57649122,0.733,4,6,7
1,371.916063,1.373,151.9243233,82.72539729,7
1,547.7414584,1.482,117.3243368,214.0391388,7
2,124.3039084,0.811,104.2161216,13.94218071,7
5,110.0085549,17.738,47.42362281,29.37354672,7
2,355.875725,1.388,215.6965461,96.87220485,7
2,158.4168242,1.263,102.6937194,22.98095749,7
2,248.8984332,11.138,96.54014709,36.29578062,7
2,454.3260694,9.142,20.22374842,113.9254679,7
2,233.1511811,0.515,233.0021459,3.502113669,7
2,617.8873238,2.355,242.0330556,215.4085931,7
2,438.1228228,2.106,348.4278978,103.0112693,7
2,2211.74878,84.162,10.77032961,226.5483126,7
2,728.4473591,1.529,352.1959682,53.27999664,7
1,86.57988594,0.64,57.97413216,14.31673005,7
1,12.77338717,0.28,11.70469991,1.025229189,7
1,46.40011603,0.514,17.20465053,3.371181524,7
2,365.1900709,4.992,82.21921916,52.81003692,7
2,821.0736987,3.261,136.8247054,38.15100486,7
2,306.9075539,1.092,72.03471385,74.94997497,7
1,725.7812194,10.639,292.4790591,50.84808481,7
3,192.43148,2.247,174.0114939,14.32089309,7
2,77.51287053,1.934,61.29437168,12.80704865,7
1,202.2241539,3.744,65.76473219,44.53754927,7
3,281.0307493,3.994,195.0230756,4.784049258,7
2,423.6394354,10.125,374.3701377,19.67037234,7
2,344.5048616,18.626,328.0060975,25.49342852,7
1,104.369552,0.421,50.44799302,30.88329003,7
1,1368.80948,16.63,139.7175723,148.0271927,7
2,691.1251613,7.956,185.6071119,21.9819163,7
2,259.7472712,4.353,142.0035211,36.30895882,7
1,83.95522383,0.999,48.01041554,4.499023755,7
3,111.246005,1.731,103.0048543,6.591922341,7
2,352.3694242,2.917,247.9879029,49.3733761,7
1,30.41019231,0.141,30,2,7
1,636.754616,2.668,227.4313083,177.1128184,7
1,37.83998545,0.265,33.54101966,1.788854382,7
2,215.3247188,1.092,205.6258739,16.54461054,7
2,1014.911864,9.328,385.4101711,140.6475596,7
2,303.0346528,8.44,86.53900855,33.6380096,7
1,113.7886702,0.483,105.4751155,16.63899576,7
3,135.9658637,2.449,130.0346108,5.675412074,7
2,107.7380425,0.718,86.83317338,8.867578714,7
1,726.6721293,4.648,54.58937626,267.6344923,7
3,161.3099894,1.451,159.0282994,3.320163783,7
4,316.4754955,1.404,182.6033954,90.38167098,7
1,333.3622128,3.947,55.36244214,118.6544478,7
3,549.9041244,2.059,540.0231477,10.19400747,7
2,660.5505949,1.077,534.176937,154.7857915,7
1,472.0308802,14.055,171.4059509,39.69523791,7
3,172.6614399,1.654,162.0493752,1.55508159,7
1,294.9664208,2.511,197.4487275,57.9745443,7
3,178.4769137,1.825,173.0462366,11.07218532,7
1,352.8158446,2.636,139.8427689,45.86579666,7
3,186.6686429,1.591,183.0027322,3.502679945,7
2,258.0171916,3.073,236.6114959,17.18006128,7
2,57.82179695,0.468,22.20360331,24.18526365,7
2,210.8112638,1.466,40.45985665,26.64369302,7
1,300.1644832,1.56,124.6635472,37.50895996,7
3,44.23606798,1.357,42.01190308,0.999716674,7
2,116.3631533,2.247,41.40048309,35.09620883,7
1,221.9790853,1.389,197.2054766,20.71950572,7
3,121.5073889,1.606,98,9,7
2,256.0211621,0.936,252.4460338,8.912795998,7
1,363.572849,5.258,58.05170109,41.3080057,7
3,198.5118553,2.824,185.0108105,1.22155024,7
2,31.59530764,0.437,29.15475947,1.85218472,7
1,265.3021231,1.95,113.0309692,68.24678275,7
3,188.5752921,2.231,181.0027624,11.47496299,7
2,93.11980416,0.484,86.03487665,13.09933883,7
1,570.9020499,1.108,207.1545317,27.62671882,7
3,222.7639331,1.966,212,9,7
2,53.54426296,0.592,53.03772242,1.074706782,7
2,95.42248039,0.811,48.08326112,26.87005769,7
1,180.2882394,2.262,159.9062225,23.52628898,7
3,133.6648663,2.231,130.4645546,3.226930114,7
2,138.293869,0.983,111.7586686,8.768894731,7
2,105.0483732,1.514,90.13878189,10.99415789,7
2,767.5666842,12.199,73.75635566,146.428059,7
2,918.3738906,1.233,888.9572543,46.45667697,7
2,3213.365968,24.991,102.1224755,130.4022443,7
1,1024.551515,1.451,1003.826678,19.59501618,7
3,229.7763729,1.591,222.0090088,15.28766791,7
1,876.58373,0.452,865.9157003,48.91238256,7
1,5.414213562,0.125,5.099019514,0.784464541,7
1,95.42537781,0.484,65.62011887,10.17980478,7
2,305.8944186,1.357,221.9391809,48.21591194,7
1,191.802763,13.51,48.76474136,28.62724093,7
2,790.8737845,5.46,267.2901046,95.93321848,7
2,189.0388513,1.545,89.14033879,36.68372865,7
2,257.9866708,28.485,97.86214794,41.67086137,7
2,397.4586063,3.526,149.8332406,98.00895941,7
1,144.9364386,0.968,86.60831369,46.47359853,7
3,193.344587,4.119,186.4242473,7.997886655,7
2,222.8438934,1.123,133.0037593,19.39042936,7
2,1167.054475,2.715,475.1515548,56.63245701,7
2,548.2493596,3.525,530.3772242,33.01423817,7
2,78.8903028,2.684,62.12889827,13.77780749,7
2,87.94671491,0.561,77.93587107,14.8198767,7
1,222.2851354,3.682,168.3240922,53.34946344,7
3,181.1302178,2.777,171.002924,7.877058292,7
2,119.8486662,0.655,80.62257748,7.194014606,7
1,229.2583641,2.278,59,20,7
3,73.82858705,2.324,66.12110102,5.353812846,7
2,88.84544368,0.624,82.09750301,11.06001969,7
2,126.3084304,6.209,39,26.15384615,7
1,1240.762938,13.276,52.43090692,126.3567691,7
3,100.6129843,1.498,99.12618221,1.846131828,7
2,127.8653145,0.67,2.236067977,59.4794082,7
2,97.67884261,0.608,96.5194281,3.999194852,7
1,185.7240615,1.826,161.0124219,22.91127577,7
3,47.18812562,1.341,44.04543109,3.678020534,7
1,643.5598144,1.029,556.044063,56.75629343,7
3,672.8245954,2.059,587.0417362,21.4397022,7
2,237.3662389,1.076,113.3181362,57.6518483,7
2,266.62511,4.149,66.91038783,20.38547443,7
1,310.4658015,6.334,71.42128534,66.22675547,7
3,199.7005316,2.98,177.0028248,8.084616736,7
1,219.0202218,0.92,166.9790406,20.5714441,7
3,226.3457981,2.668,167.0269439,5.657769805,7
2,514.7105072,2.293,161.6075493,38.68012371,7
2,202.2172523,0.874,161.2761607,24.34953798,7
2,33.8263497,2.714,20.61552813,6.451447626,7
1,18.47870866,0.265,13.45362405,5.351717853,7
3,623.6446585,3.214,587.1669269,25.42207219,7
1,191.519922,0.265,184.0978001,17.26256369,7
1,251.9789641,1.248,204.6362627,19.12661983,7
2,115.409138,0.983,111.2115102,8.236557514,7
2,35.66036089,0.406,34.53983208,1.360747785,7
2,213.4310976,1.498,66.12110102,14.33732932,7
1,31.77152814,0.249,31.04834939,2.061301204,7
1,416.9675225,1.342,283.007067,33.8860796,7
3,536.8564282,2.637,529.076554,8.626350885,7
1,345.0729507,0.437,343.2928779,10.93818207,7
1,70.03596314,0.234,69.42621983,1.353955325,7
1,117.4878922,0.733,48.38388161,50.03732481,7
2,71.87206568,0.78,43.01162634,20.73857875,7
1,295.5253508,4.01,137.3207923,14.57900123,7
3,109.221437,2.325,104.0432602,3.450487799,7
1,272.963471,0.983,241.7478025,53.58890491,7
3,68.41421356,1.794,64.00781202,1.124862696,7
1,136.0956016,1.295,111.4629983,29.21148765,7
3,165.9243393,1.498,163.0030675,4.779051169,7
1,265.9059854,1.372,26.2488095,39.81132935,7
3,185.9546948,1.919,184,3,7
1,164.5049543,0.967,68.41052551,37.18726002,7
3,314.3422572,6.693,300.0016667,11.17660457,7
2,399.6103067,0.655,394.5072876,19.3000237,7
2,246.7149126,1.061,232.9570776,32.97173917,7
2,409.9400746,2.777,157.0127383,29.37341294,7
1,349.3905072,3.4,245.2305038,15.78107103,7
3,569.2055901,2.87,558.0143367,25.54414656,7
2,135.3734613,0.718,76.15773106,21.37668727,7
1,288.7103223,2.246,190.5911855,40.92529242,7
3,99.45030848,1.435,94.005319,4.340179942,7
1,255.9508224,0.967,237.413142,36.14374473,7
3,146.3842396,2.231,98.04590761,3.702347286,7
1,160.4629065,1.201,147.1054044,15.59426052,7
3,168.4501349,2.153,164.1493223,4.587286683,7
1,40.83856899,0.624,19.10497317,9.578657783,7
3,166.9728425,2.043,153.0130713,9.012301942,7
2,179.5860997,0.889,176.5276182,10.51960038,7
2,467.1528885,1.138,417.5416147,22.52709591,7
1,790.6568395,15.601,397.6656887,53.46702168,7
3,255.8172362,1.794,249.0501957,10.47579984,7
2,339.0293039,1.779,324.4996148,15.97536565,7
1,165.3280358,1.092,122.0655562,48.99006885,7
3,595.2256312,2.527,560.0008929,17.07140135,7
1,637.3833734,0.546,551.4000363,61.25498328,7
4,16.24264069,0.78,11.66190379,4.287464629,7
1,346.5738654,3.354,26.90724809,69.05202619,7
3,64.54744247,1.997,62.07253821,2.02988316,7
1,60.97445966,1.092,26.2488095,21.60097966,7
3,105.6928216,2.324,95.13148795,6.885207139,7
2,45.35806876,0.718,25.70992026,1.205760254,7
2,164.3371736,2.184,72.0624729,44.37816066,7
2,48.37730189,0.78,44.14748011,3.533610517,7
1,374.1267299,2.699,91.39474821,77.4552164,7
3,178.1194386,2.309,175.071414,3.541411963,7
1,56.65531488,0.827,38.58756276,12.67247696,7
3,192.4590326,1.794,165.0272705,11.41629498,7
2,117.0191584,0.531,111.0855526,17.17595092,7
1,54.5916786,0.562,35.80502758,15.55647454,7
1,707.7342873,1.904,287.6056328,177.416553,7
3,542.198569,2.933,519.047204,13.16065273,7
2,289.6543931,0.967,257.4975728,21.9419544,7
1,307.5747498,1.326,99.62429423,24.99390354,7
3,94.11088493,1.436,92.02173656,1.630049656,7
1,330.5634917,0.873,227.7937664,38.67533401,7
3,62.12310563,1.7,58.00862005,0.4999257,7
1,130.1258325,0.858,112.1784293,26.08344597,7
3,173.6486125,1.56,163.0122695,8.036204908,7
1,40.55367339,0.827,24.8394847,8.575057116,7
3,42.15586488,0.608,32.01562119,3.498292266,7
2,49.18419007,0.39,44.38468204,9.417663499,7
1,49.76941678,0.842,42.94182111,7.032771136,7
3,193.6115074,1.81,166.003012,10.04801045,7
1,233.4913448,1.326,189.9526257,49.99667663,7
3,209.3974213,4.774,200.1224625,8.145012707,7
1,194.7601619,0.827,44.72135955,64.48820047,7
3,582.2732204,3.604,552.0226445,41.92219329,7
2,543.4931306,0.764,537.7183278,31.62436377,7
2,321.1373396,0.748,304.3698408,25.15032363,7
1,566.7234783,3.089,139.0035971,18.02111638,7
3,108.3892144,1.794,102.0441081,9.025508842,7
1,264.7356985,1.06,247.3418687,22.44262174,7
3,94.71949029,1.435,93,3,7
1,394.6549574,3.167,143.1362987,39.86410193,7
3,174.4528648,1.716,171.0116955,4.064049526,7
1,95.70654222,1.092,21.9317122,7.842524945,7
3,165.5613399,2.122,158,6,7
1,78.88598122,0.702,38.07886553,28.59854108,7
3,348.4270656,2.793,323,18,7
2,481.08268,2.995,60.41522987,117.917287,7
2,218.7622739,1.872,212.3982109,16.22424212,7
2,123.2017391,0.546,123.004065,2.430813974,7
2,142.5753309,0.686,136.0147051,12.35160565,7
2,233.8597915,1.092,223.5754906,25.77652848,7
1,201.1692926,1.17,68.35934464,25.08801114,7
1,347.9785259,3.962,192.314846,93.18053375,7
3,145.5050203,1.716,141.226768,6.75509334,7
2,1242.088959,5.944,109.658561,66.54291223,7
1,72.88060283,0.468,70.9365914,4.313711639,7
3,585.1180658,2.012,577.031195,11.5609001,7
2,562.629352,0.842,544.2104372,53.77699139,7
1,253.0620574,1.014,26.2488095,68.87931433,7
3,58.99929883,0.905,57.42821606,1.062195628,7
1,336.9649674,12.73,73.06161783,88.89756609,7
3,102.5226619,1.513,97.04638066,6.924524082,7
1,163.0049754,2.574,111.5078473,27.17297549,7
3,162.3041287,1.935,156.0288435,3.730079561,7
2,172.9203913,1.934,91.54780172,17.73936642,7
1,333.1050403,2.215,308.3147742,37.83146633,7
3,107.8313096,2.075,105.0190459,2.475741403,7
1,104.9624501,0.577,94.33981132,7.313985372,7
3,170.7847157,1.872,169.1064753,2.264845265,7
1,665.0191803,4.259,355.7878581,52.48914366,7
3,98.39245776,1.935,94.02127419,3.57365929,7
1,289.0902877,1.497,243.8237068,16.3601811,7
3,209.627725,2.028,154.029218,17.40578856,7
2,434.734321,1.513,423.3024923,19.71167227,7
1,131.4719123,1.248,106.3672882,21.86762528,7
3,60.41421356,1.762,59,1,7
1,106.3025596,1.17,19.41648784,46.86738444,7
3,106.9341793,1.544,103.1746093,2.655692151,7
2,1853.663891,11.763,363.6660556,141.709679,7
2,551.4878201,0.843,160.3121954,207.2456179,7
5,709.9461574,1.342,660.7783289,56.84508458,7
2,836.571357,5.32,377.1949098,110.0226936,7
2,12.16227766,0.437,12.04159458,0.664363839,7
2,23.44717053,0.359,21.84032967,2.609850715,7
2,961.400933,6.053,9.219544457,195.3458773,7
2,190.6961998,0.749,187.3846312,14.01395613,7
1,291.5721464,1.357,190.5911855,66.08385359,7
1,11.89292223,0.265,10.81665383,0.832050294,7
1,5.414213562,0.187,4.242640687,0.707106781,7
1,135.1678393,1.654,30.52867504,33.6732596,7
1,187.7259871,0.702,161.2761607,37.07305516,7
3,155.123243,2.777,149.0134222,6.334999801,7
4,449.8642415,1.108,359.1684841,43.03551309,7
2,125.4302292,0.78,118.2285921,16.27355926,7
1,689.9555762,5.351,268.56098,170.2332185,7
3,182.6767968,3.105,164.0121947,7.267752269,7
2,178.2787369,0.904,149.1106971,13.21836755,7
2,851.7317678,1.264,336.3643857,334.4497954,7
2,413.6315703,1.139,390.3549667,55.10369237,7
2,199.6039483,1.716,61.84658438,81.24943439,7
1,168.7749609,0.733,81.84130986,56.682866,7
1,59.44906956,0.249,59,2,7
1,112.3316759,2.355,9.219544457,13.34122316,7
1,190.7643092,0.53,21,25,7
1,192.8485622,0.484,92.59049627,23.98734308,7
1,168.89675,0.826,103.0048543,19.74664218,7
1,476.9868542,6.536,51.86520992,41.62713317,7
1,32.49559997,0.172,31.38470965,1.306368625,7
1,901.1688937,1.248,261.9465594,141.1661985,7
1,20.46941345,0.218,20.02498439,1.498128508,7
5,431.3324661,2.262,262.0686933,85.16850952,7
2,334.5864064,0.889,311.9695498,40.75077202,7
2,22.2649303,0.297,20.80865205,0.672797064,7
1,834.1918917,3.292,188.3507367,133.5699581,7
1,16.72134935,0.25,15.26433752,1.048194851,7
1,326.7108308,2.762,202.3116408,19.9543634,7
3,78.3309427,0.702,76.65507159,2.426453934,7
1,109.9232574,0.327,106.7754653,11.49140391,7
2,509.2687196,5.148,342.8614881,61.36005568,7
1,552.9507931,2.683,484.9288608,49.73513014,7
2,475.9128948,1.185,416.9184573,80.77838583,7
2,414.8300097,2.699,264.9150807,130.8796762,7
2,371.5148718,1.669,239.0585702,48.18066129,7
2,1003.379935,6.879,381.9319311,62.3985534,7
1,44.48406482,0.406,38.41874542,7.340166809,7
1,124.730207,0.936,73.02739212,17.28118673,7
3,100.4700585,3.526,96,4,7
2,297.394123,0.842,265.0169806,16.18386864,7
1,15,0.405,9.433981132,3.70999258,7
3,71.30683583,2.574,66.06814664,2.406606029,7
1,221.0708578,1.046,64.77653896,17.41371209,7
3,65.88634952,1.575,62.28964601,2.664969391,7
2,171.710186,1.529,65.29931087,29.28055403,7
2,435.0898719,4.009,42.20189569,91.55986803,7
1,87.98162534,1.841,43.01162634,6.207623909,7
3,63.32006763,1.389,60.07495318,1.997504678,7
2,391.8181204,1.825,300.9800658,101.461869,7
2,986.9921599,4.805,443.632731,244.0599903,7
1,836.0005621,7.612,301.4780257,130.3677106,7
2,594.0634914,3.308,309.1310402,75.831919,7
1,125.9398836,1.997,108.240473,24.55643371,7
1,249.5816153,1.435,84.62860037,74.37202048,7
1,56.59497715,0.608,25,17.8,7
1,54.47140999,0.858,50.93132631,6.852364257,7
2,296.8388919,1.061,179.4714462,38.85854908,7
2,746.015224,5.414,11.18033989,63.41488784,7
5,188.1779753,1.778,16.03121954,7.360637766,7
5,562.7555752,1.576,226.715681,131.6538842,7
2,618.6766406,3.432,389.0321323,94.63999742,7
2,29.08276253,0.374,29.01723626,0.792632344,7
1,101.1055386,3.244,76.65507159,9.601452125,7
2,538.2616975,1.154,521.5524902,24.15289015,7
2,1029.893685,2.012,322.0341597,294.6178135,7
2,467.2380778,1.981,328.0304864,67.73150948,7
5,926.046128,5.038,428.1973844,277.843827,7
2,310.1150797,1.685,17,19,7
5,22.98380159,0.811,3.16227766,2.213594362,7
2,512.1556896,2.075,429.8488106,49.39876411,7
2,601.4518533,1.373,456.5084884,141.3949612,7
2,625.1399112,1.638,291.6196153,15.44820638,7
4,95.47157474,6.74,57.31491952,24.86263632,7
2,23.8770543,0.468,22.13594362,2.529822128,7
1,125.9525571,5.554,96.33275663,24.08318916,7
3,272.9250167,2.434,228.0087718,14.90293542,7
2,363.4261335,1.185,354.5095203,23.42673334,7
1,117.4187135,3.135,57.97413216,15.24817996,7
3,147.9876708,2.043,143.0139853,6.77556113,7
2,241.9934985,0.952,186.4537476,17.01762523,7
1,644.6972354,3.51,277.4058399,92.92161986,7
3,58.69443356,0.811,53.60037313,2.53729577,7
1,1060.476314,5.647,37.48332963,360.7737129,7
3,50.04862718,1.357,47.04253395,3.231118463,7
2,674.3260295,3.401,282.8886707,72.49848483,7
5,39.43855293,0.655,39.2173431,0.815965526,7
2,922.2796823,4.399,457.3893309,137.3315811,7
2,389.6198315,5.335,148.7077671,56.35885847,7
1,408.2262863,4.898,114.2147101,73.56320384,7
1,456.8732743,5.336,68.50547423,134.2374475,7
2,806.1461173,1.888,579.4928818,71.82486845,7
1,2283.683925,6.942,749.4164396,234.8894295,7
